2025-11-14 14:37:02,560 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:37:02,561 | src.bot | INFO | Найдено 3 CSV-файлов в data/. Загружаю в RAG...
2025-11-14 14:37:02,612 | src.rag | INFO | Загружаю 6977 документов из /home/medj/projects/hackatons/alpha_hackaton/src/../data/sample_submission.csv батчами по 5000
2025-11-14 14:39:26,125 | root | INFO | Логирование инициализировано
2025-11-14 14:39:26,266 | root | INFO | Логирование инициализировано
2025-11-14 14:39:26,267 | root | INFO | Логирование инициализировано
2025-11-14 14:39:26,852 | src.rag | INFO | Загружена существующая БД
2025-11-14 14:39:26,852 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:39:26,853 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:39:26,962 | src.bot | INFO | RAG уже содержит 13954 документов. Пропускаем загрузку.
2025-11-14 14:39:26,964 | root | INFO | Логирование инициализировано
2025-11-14 14:40:28,617 | root | INFO | Логирование инициализировано
2025-11-14 14:40:28,759 | root | INFO | Логирование инициализировано
2025-11-14 14:40:28,760 | root | INFO | Логирование инициализировано
2025-11-14 14:40:29,349 | src.rag | INFO | Загружена существующая БД
2025-11-14 14:40:29,349 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:40:29,350 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:40:29,455 | src.bot | INFO | RAG уже содержит 13954 документов. Пропускаем загрузку.
2025-11-14 14:40:29,458 | root | INFO | Логирование инициализировано
2025-11-14 14:40:29,467 | __main__ | INFO | ChromaDB загружена: 13954 документов
2025-11-14 14:40:29,468 | __main__ | INFO | Бот запущен...
2025-11-14 14:40:42,440 | src.bot | INFO | Вопрос: Сколько выручки в марте?
2025-11-14 14:41:31,525 | httpx | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2025-11-14 14:41:31,526 | src.llm | INFO | LLM ответил за 49.00с
2025-11-14 14:44:13,258 | root | INFO | Логирование инициализировано
2025-11-14 14:44:13,402 | root | INFO | Логирование инициализировано
2025-11-14 14:44:13,403 | root | INFO | Логирование инициализировано
2025-11-14 14:44:13,981 | src.rag | INFO | Загружена существующая БД
2025-11-14 14:44:13,982 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:44:13,982 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:44:14,093 | src.bot | INFO | RAG уже содержит 13954 документов. Пропускаем загрузку.
2025-11-14 14:44:14,096 | root | INFO | Логирование инициализировано
2025-11-14 14:44:14,107 | __main__ | INFO | ChromaDB загружена: 13954 документов
2025-11-14 14:44:14,108 | __main__ | INFO | Бот запущен...
2025-11-14 14:44:26,184 | src.bot | INFO | Вопрос: Сколько выручки в марте?
2025-11-14 14:44:45,790 | httpx | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2025-11-14 14:44:45,792 | src.llm | INFO | LLM ОТВЕТ: Данные для анализа выручки в марте не предоставлены.
2025-11-14 14:44:45,792 | src.llm | INFO | LLM ответил за 18.74с
2025-11-14 14:44:45,874 | src.bot | INFO | ОТПРАВЛЕНО пользователю: Данные для анализа выручки в марте не предоставлены.
2025-11-14 14:51:08,192 | src.bot | INFO | Вопрос: Узнать зарплатный счет
2025-11-14 14:52:13,939 | httpx | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2025-11-14 14:52:13,941 | src.llm | INFO | LLM ОТВЕТ: Уточните в банке или в личном кабинете.
2025-11-14 14:52:13,941 | src.llm | INFO | LLM ответил за 64.52с
2025-11-14 14:52:14,017 | src.bot | INFO | ОТПРАВЛЕНО пользователю: Уточните в банке или в личном кабинете.
2025-11-14 14:55:45,672 | root | INFO | Логирование инициализировано
2025-11-14 14:55:45,813 | root | INFO | Логирование инициализировано
2025-11-14 14:55:45,814 | root | INFO | Логирование инициализировано
2025-11-14 14:55:46,411 | src.rag | INFO | Создана новая БД
2025-11-14 14:55:46,411 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:55:46,411 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:55:46,415 | src.bot | INFO | RAG пуст. Загружаем обязательные CSV...
2025-11-14 14:55:46,415 | src.bot | CRITICAL | ОТСУТСТВУЮТ: sample_sales.csv
2025-11-14 15:05:40,346 | root | INFO | Логирование инициализировано
2025-11-14 15:05:40,489 | root | INFO | Логирование инициализировано
